Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Elevation,Roast profile,Acidity
Ethiopian Apex Trio,500,Fruit Houseblend Cowpresso Signature,36,"Strawberry, Floral, Juicy Plums, Citrus, Lychee, Candy Oranges","Yirgacheffe, Kochere & Guji",Ethiopia,Heirlooms,"Natural, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/APEX.png?v=1686214718,"1,750 - 2,200",Medium to Medium Dark Roast,Crisp
Ethiopian Apex Trio,250,Fruit Houseblend Cowpresso Signature,19,"Strawberry, Floral, Juicy Plums, Citrus, Lychee, Candy Oranges","Yirgacheffe, Kochere & Guji",Ethiopia,Heirlooms,"Natural, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/APEX.png?v=1686214718,"1,750 - 2,200",Medium to Medium Dark Roast,Crisp
Ethiopian Apex Trio,1000,Fruit Houseblend Cowpresso Signature,57,"Strawberry, Floral, Juicy Plums, Citrus, Lychee, Candy Oranges","Yirgacheffe, Kochere & Guji",Ethiopia,Heirlooms,"Natural, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/APEX.png?v=1686214718,"1,750 - 2,200",Medium to Medium Dark Roast,Crisp
Indonesian Aged Mandheling,500,Earthy Single Origin,36,"Cedar, Soft Tobacco, Black Tea, Lingering Spice and Toasted Bread","Angkola, Siripok. North Sumatra Indonesia",Indonesia,"Catimor, Typica",Pulped Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Indo-web.jpg?v=1596354602,"800 - 1,700",Medium Dark Roast,Low
Indonesian Aged Mandheling,250,Earthy Single Origin,19,"Cedar, Soft Tobacco, Black Tea, Lingering Spice and Toasted Bread","Angkola, Siripok. North Sumatra Indonesia",Indonesia,"Catimor, Typica",Pulped Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Indo-web.jpg?v=1596354602,"800 - 1,700",Medium Dark Roast,Low
Indonesian Aged Mandheling,1000,Earthy Single Origin,69,"Cedar, Soft Tobacco, Black Tea, Lingering Spice and Toasted Bread","Angkola, Siripok. North Sumatra Indonesia",Indonesia,"Catimor, Typica",Pulped Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Indo-web.jpg?v=1596354602,"800 - 1,700",Medium Dark Roast,Low
Organic DECAF Colombia Maragogipe,1000,Single Origin DECAF,58,"Vanilla Wafers, Milk Chocolate, Malt & Rich Brownies","Colombia, Maragogipe",Colombia,"Typica, Caturra",S.Water,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/DECAF_6b0fd42c-8485-4af0-b2c3-29740d72f30e.png?v=1686214838,"1,200 - 2,000",Medium Dark,Low
Organic DECAF Colombia Maragogipe,250,Single Origin DECAF,17,"Vanilla Wafers, Milk Chocolate, Malt & Rich Brownies","Colombia, Maragogipe",Colombia,"Typica, Caturra",S.Water,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/DECAF_6b0fd42c-8485-4af0-b2c3-29740d72f30e.png?v=1686214838,"1,200 - 2,000",Medium Dark,Low
Organic DECAF Colombia Maragogipe,500,Single Origin DECAF,32,"Vanilla Wafers, Milk Chocolate, Malt & Rich Brownies","Colombia, Maragogipe",Colombia,"Typica, Caturra",S.Water,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/DECAF_6b0fd42c-8485-4af0-b2c3-29740d72f30e.png?v=1686214838,"1,200 - 2,000",Medium Dark,Low
Microlot Colombia Jeepao,500,Microlot Single Origin,42,,"Andean, Paisaje Cultural Cafetero, Colombia & Village",Colombia,"Castillo, Caturra",Sun,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Jeepao.jpg?v=1588506954,"1,200 - 1,900",Medium Roast,Medium
Microlot Colombia Jeepao,1000,Microlot Single Origin,63,,"Andean, Paisaje Cultural Cafetero, Colombia & Village",Colombia,"Castillo, Caturra",Sun,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Jeepao.jpg?v=1588506954,"1,200 - 1,900",Medium Roast,Medium
Microlot Colombia Jeepao,250,Microlot Single Origin,22,,"Andean, Paisaje Cultural Cafetero, Colombia & Village",Colombia,"Castillo, Caturra",Sun,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Jeepao.jpg?v=1588506954,"1,200 - 1,900",Medium Roast,Medium
Colombia El Salto Bordones,500,Cowpresso Coffee Roasters,35,"Fruity, Nutty, Citrusy, Caramel, Candy & Cocoa.","Colombia De Salto Bordones, Tolima",Colombia,"Castillo, Caturra",Sun Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Salto-web.jpg?v=1587613998,"1,800 - 2,100",Medium Roast,Medium
Colombia El Salto Bordones,250,Cowpresso Coffee Roasters,19,"Fruity, Nutty, Citrusy, Caramel, Candy & Cocoa.","Colombia De Salto Bordones, Tolima",Colombia,"Castillo, Caturra",Sun Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Salto-web.jpg?v=1587613998,"1,800 - 2,100",Medium Roast,Medium
Colombia El Salto Bordones,1000,Cowpresso Coffee Roasters,67,"Fruity, Nutty, Citrusy, Caramel, Candy & Cocoa.","Colombia De Salto Bordones, Tolima",Colombia,"Castillo, Caturra",Sun Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Salto-web.jpg?v=1587613998,"1,800 - 2,100",Medium Roast,Medium
Colombian Excelso,250,Cowpresso Coffee Roasters Singapore,16,,"Huila, Pitalito, Colombia",Colombia,"Castillo, Caturra",Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/ColombianExcelso.png?v=1726120707,"1,400 - 1,800",Medium-Dark,Ripe Peckham pear
Colombian Excelso,1000,Cowpresso Coffee Roasters Singapore,48,,"Huila, Pitalito, Colombia",Colombia,"Castillo, Caturra",Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/ColombianExcelso.png?v=1726120707,"1,400 - 1,800",Medium-Dark,Ripe Peckham pear
Colombian Excelso,500,Cowpresso Coffee Roasters Singapore,30,,"Huila, Pitalito, Colombia",Colombia,"Castillo, Caturra",Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/ColombianExcelso.png?v=1726120707,"1,400 - 1,800",Medium-Dark,Ripe Peckham pear
ChestNuts! Bold Blend (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,36,Dark chocolate. Roasted Chestnuts. Dried Raisins.,,Unknown,"Yellow Bourbon, Catimor, Catuai, Mundo Novo",Washed and Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Chestnuts_Bold.png?v=1726132888,,Medium - Dark,Balanced
ChestNuts! Bold Blend (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,57,Dark chocolate. Roasted Chestnuts. Dried Raisins.,,Unknown,"Yellow Bourbon, Catimor, Catuai, Mundo Novo",Washed and Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Chestnuts_Bold.png?v=1726132888,,Medium - Dark,Balanced
ChestNuts! Bold Blend (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,19,Dark chocolate. Roasted Chestnuts. Dried Raisins.,,Unknown,"Yellow Bourbon, Catimor, Catuai, Mundo Novo",Washed and Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Chestnuts_Bold.png?v=1726132888,,Medium - Dark,Balanced
Ethiopian Guji Shakiso,,Cowpresso Coffee Roasters Singapore,22,"Citrus zest, Marmalade, Floral Sweet, Berries.","Guji, Oromia",Ethiopia,Heirlooms,"Washed, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Guji_Shakiso.png?v=1726887848,"1,750 - 1,950",Light,Balanced
Ethiopian Guji Shakiso,,Cowpresso Coffee Roasters Singapore,63,"Citrus zest, Marmalade, Floral Sweet, Berries.","Guji, Oromia",Ethiopia,Heirlooms,"Washed, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Guji_Shakiso.png?v=1726887848,"1,750 - 1,950",Light,Balanced
Ethiopian Guji Shakiso,500,Cowpresso Coffee Roasters Singapore,42,"Citrus zest, Marmalade, Floral Sweet, Berries.","Guji, Oromia",Ethiopia,Heirlooms,"Washed, Sun Dried",https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Guji_Shakiso.png?v=1726887848,"1,750 - 1,950",Light,Balanced
